year,problem,kind,repo,path,bytes,git_blob_sha1,sha256,url,verification,license
2022,B,Code,Js2Hou/HUAWEICUP2022,solutions/lpga/shared/viz.py,1058,e25d0d63cb7730d9062ce11b264db99778d223bd,,https://github.com/Js2Hou/HUAWEICUP2022/blob/eb389c80371740fd4f474567ab446b151534c3f7/solutions/lpga/shared/viz.py,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,B,Code,Js2Hou/HUAWEICUP2022,solutions/plotting.py,3108,1d6b99c1427c7cffd652d038672a838350aa57da,,https://github.com/Js2Hou/HUAWEICUP2022/blob/eb389c80371740fd4f474567ab446b151534c3f7/solutions/plotting.py,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Code,WLQ-16/2022_MCM,datareview.py,6011,8a9759bc85d081d6a66f116860af15bd169fa596,,https://github.com/WLQ-16/2022_MCM/blob/e29ebb2df71c3da4514e20ec7d10c8854be626ca/datareview.py,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,WLQ-16/2022_MCM,control_dependence.csv,1923948,fc3d37bc7331f8489b710d737956c8bfcae1ae48,,https://github.com/WLQ-16/2022_MCM/blob/e29ebb2df71c3da4514e20ec7d10c8854be626ca/control_dependence.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Code,BryanHuang66/PISA-architecture-resource-allocation,demo.ipynb,80689,bdbcde6e43ad10f21a79131c429ebbf82527cdaf,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/demo.ipynb,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,attachment1.csv,7231,3074cffc114e833e5530edddf79720c04185768b,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/attachment1.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,attachment2.csv,25204,7a645cddbcbdcf43f910d8cf9c7b606170fee5e9,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/attachment2.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,attachment3.csv,5919,67cfdeabd608df1c3fef8f7921ddb3e3527b6816,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/attachment3.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy.csv,6219,e41bce041113d38b7c1c783cb397768fde8bbe98,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_alloc.csv,19949,ee492f64e4c0e76f7997786a22ab07923e414285,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_alloc.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_alloc_random.csv,19949,22a753398b8aae546cc584b4baca98e83e4abf10,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_alloc_random.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_alloc_w_right.csv,19950,85ab8b5e584d4b4cef3dd16c54890d6a6d7a6f53,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_alloc_w_right.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
